"ID","RecordM","Remark","Name","NameE","BranchID","TypeExpens","UserID","EmpID","Account_Code","HistoryDate","FromDate","ToDate","Valu","Remark2","Account_Code1","Messier","AllowID","NewOrOpeneing"
"1","4/3/2019 12:00:00 AM","","اللقسط الاول من ايجار المكتب العقارى ","","1","0","1","0","a1a2a5a1a1","1/1/2019 12:00:00 AM","1/1/2019 12:00:00 AM","9/30/2019 12:00:00 AM","32082","","a3a1a3a3a16","False","",""
"2","4/3/2019 12:00:00 AM","","قيمه التامين الطبى مايخص عام 2019 ","","1","","1","0","a1a2a5a2a1","1/1/2019 12:00:00 AM","1/1/2019 12:00:00 AM","8/24/2019 12:00:00 AM","2508.45","","a3a1a5a1a8","False","",""
"3","5/22/2019 12:00:00 AM","","رسوم مكتب العمل + المقابل المالى الخاص بتجديد اقامه محمد عبد الوهاب","","1","0","2","0","a1a2a5a6a1","1/7/2019 12:00:00 AM","1/7/2019 12:00:00 AM","1/7/2020 12:00:00 AM","8130","","a3a1a5a1a26","False","",""
"4","5/23/2019 12:00:00 AM","","اثبات ايجار عام 2019 مبنى المروج من 1-1-2019 الى 31-12-2019","","1","0","2","0","a1a2a5a1a1","1/30/2019 12:00:00 AM","1/1/2019 12:00:00 AM","12/31/2019 12:00:00 AM","35000","","a3a1a3a3a16","False","",""
"5","5/29/2019 12:00:00 AM","","تامين على السيارات الباك اب ضد الغير عن الفتره من 1-3-2019 الى 28-02-2020","","1","0","1","0","a1a2a5a5a1","2/26/2019 12:00:00 AM","3/1/2019 12:00:00 AM","2/28/2020 12:00:00 AM","900","","a3a1a3a3a22","False","",""
"6","5/29/2019 12:00:00 AM","","تامين على السيارات الباك اب ضد الغير عن الفتره من 1-3-2019 الى 28-02-2020","","1","","1","0","a1a2a5a5a1","2/26/2019 12:00:00 AM","3/1/2019 12:00:00 AM","2/28/2020 12:00:00 AM","900","","a3a1a3a3a22","False","","0"
"7","6/18/2019 12:00:00 AM","","قيمه عقد الصيانه برنامج دينامك فيجن المحاسبى الخاص بالشركه العقاريه لمده عام ","","1","","1","0","a1a2a5a7a1","4/9/2019 12:00:00 AM","5/13/2019 12:00:00 AM","5/13/2020 12:00:00 AM","3600","","a3a1a5a1a29","False","","0"
"8","8/18/2019 12:00:00 AM",""," سداد من الرياض المروج الى / وزارة العمل سداد رسوم مكتب العمل + المقابل المالى - سبحان الله سلطان ","","1","0","2","0","a1a2a5a6a1","7/7/2019 12:00:00 AM","7/25/2019 12:00:00 AM","7/25/2020 12:00:00 AM","8507"," سداد من الرياض المروج الى / وزارة العمل سداد رسوم مكتب العمل + المقابل المالى - سبحان الله سلطان ","a3a1a5a1a26","False","",""
"9","8/18/2019 12:00:00 AM","","سداد من حساب الجوازات رسوم تجديد اقامة سبحان الله ","","1","0","2","0","a1a2a5a6a1","6/24/2019 12:00:00 AM","7/25/2019 12:00:00 AM","7/25/2020 12:00:00 AM","650","","a3a1a5a1a26","False","",""
"10","9/12/2019 12:00:00 AM","","سداد من حساب الجوازات رسوم تجديد اقامة منير حسين ","","1","0","1","0","a1a2a5a6a1","9/12/2019 12:00:00 AM","10/3/2019 12:00:00 AM","9/3/2020 12:00:00 AM","8990","","a3a1a5a1a26","False","","0"
