"session_id","blocking_session_id","wait_type","wait_time","total_elapsed_time","command","status"
"2","0","SLEEP_TASK","60","187509541","XIO_LEASE_RENEWAL_WORKER","background"
"1","0","SLEEP_TASK","827","187509541","XIO_RETRY_WORKER","background"
"3","0","WAIT_XTP_HOST_WAIT","187509484","187509532","XTP_CKPT_AGENT","background"
"4","0","DIRTY_PAGE_POLL","35","187509479","RECOVERY WRITER","background"
"6","0","PVS_PREALLOCATE","187509478","187509478","PVS_PREALLOCATOR","background"
"5","0","LAZYWRITER_SLEEP","672","187509478","LAZY WRITER","background"
"7","0","LOGMGR_QUEUE","50","187509471","LOG WRITER","background"
"8","0","LOGMGR_QUEUE","113","187509455","LOG WRITER","background"
"10","0","REQUEST_FOR_DEADLOCK_SEARCH","1108","187509453","LOCK MONITOR","background"
"13","0","XE_TIMER_EVENT","1062","187509450","XE TIMER","background"
"12","0","XE_DISPATCHER_WAIT","34979","187509450","XE DISPATCHER","background"
"11","0","","0","187509450","RESOURCE MONITOR","background"
"24","0","SQLTRACE_INCREMENTAL_FLUSH_SLEEP","2","187508806","TRACE QUEUE TASK","background"
"25","0","SP_SERVER_DIAGNOSTICS_SLEEP","229212","187508801","SYSTEM_HEALTH_MONITOR","background"
"26","0","","0","187508800","RECEIVE","background"
"29","0","FT_IFTSHC_MUTEX","187508035","187508035","UNKNOWN TOKEN","background"
"30","0","CHECKPOINT_QUEUE","1158022","187508029","CHECKPOINT","background"
"28","0","ONDEMAND_TASK_QUEUE","49071","187508029","LOG POOL MEMORY NOTIFICATION","background"
"31","0","BROKER_EVENTHANDLER","98701919","187507528","BRKR EVENT HNDLR","background"
"27","0","BROKER_TRANSMITTER","187507527","187507527","BRKR TASK","background"
"14","0","BROKER_TRANSMITTER","187507527","187507527","BRKR TASK","background"
"32","0","BROKER_TO_FLUSH","843","187507527","BRKR TASK","background"
"33","0","HADR_FILESTREAM_IOMGR_IOCOMPLETION","169","187507527","BRKR TASK","background"
"9","0","KSOURCE_WAKEUP","187507521","187507521","SIGNAL HANDLER","background"
"22","0","SLEEP_TASK","1217","1217","TEMPORAL_HK_FLUSH","background"
"23","0","","0","0","TASK MANAGER","sleeping"
"21","0","","0","0","TASK MANAGER","sleeping"
"20","0","","0","0","TASK MANAGER","sleeping"
"19","0","","0","0","TASK MANAGER","sleeping"
"18","0","","0","0","TASK MANAGER","sleeping"
