"session_id","blocking_session_id","wait_type","wait_time","total_elapsed_time","command","status"
"2","0","SLEEP_TASK","668","187463732","XIO_LEASE_RENEWAL_WORKER","background"
"1","0","SLEEP_TASK","415","187463732","XIO_RETRY_WORKER","background"
"3","0","WAIT_XTP_HOST_WAIT","187463674","187463722","XTP_CKPT_AGENT","background"
"6","0","PVS_PREALLOCATE","187463669","187463669","PVS_PREALLOCATOR","background"
"5","0","LAZYWRITER_SLEEP","238","187463669","LAZY WRITER","background"
"4","0","DIRTY_PAGE_POLL","83","187463669","RECOVERY WRITER","background"
"7","0","LOGMGR_QUEUE","67","187463662","LOG WRITER","background"
"8","0","LOGMGR_QUEUE","21","187463646","LOG WRITER","background"
"10","0","REQUEST_FOR_DEADLOCK_SEARCH","360","187463644","LOCK MONITOR","background"
"13","0","XE_TIMER_EVENT","315","187463641","XE TIMER","background"
"12","0","XE_DISPATCHER_WAIT","49177","187463641","XE DISPATCHER","background"
"11","0","","0","187463641","RESOURCE MONITOR","background"
"24","0","SQLTRACE_INCREMENTAL_FLUSH_SLEEP","2319","187462997","TRACE QUEUE TASK","background"
"25","0","SP_SERVER_DIAGNOSTICS_SLEEP","183402","187462992","SYSTEM_HEALTH_MONITOR","background"
"26","0","","0","187462991","RECEIVE","background"
"29","0","FT_IFTSHC_MUTEX","187462226","187462226","UNKNOWN TOKEN","background"
"28","0","ONDEMAND_TASK_QUEUE","3262","187462220","LOG POOL MEMORY NOTIFICATION","background"
"30","0","CHECKPOINT_QUEUE","1112213","187462220","CHECKPOINT","background"
"31","0","BROKER_EVENTHANDLER","98656110","187461719","BRKR EVENT HNDLR","background"
"27","0","BROKER_TRANSMITTER","187461718","187461718","BRKR TASK","background"
"14","0","BROKER_TRANSMITTER","187461718","187461718","BRKR TASK","background"
"32","0","BROKER_TO_FLUSH","451","187461718","BRKR TASK","background"
"33","0","HADR_FILESTREAM_IOMGR_IOCOMPLETION","346","187461718","BRKR TASK","background"
"9","0","KSOURCE_WAKEUP","187461711","187461711","SIGNAL HANDLER","background"
"23","0","","0","0","TASK MANAGER","sleeping"
"22","0","","0","0","TASK MANAGER","sleeping"
"21","0","","0","0","TASK MANAGER","sleeping"
"20","0","","0","0","TASK MANAGER","sleeping"
"19","0","","0","0","TASK MANAGER","sleeping"
"18","0","","0","0","TASK MANAGER","sleeping"
