"session_id","blocking_session_id","wait_type","wait_time","total_elapsed_time","command","status"
"2","0","SLEEP_TASK","578","189638506","XIO_LEASE_RENEWAL_WORKER","background"
"1","0","SLEEP_TASK","113","189638506","XIO_RETRY_WORKER","background"
"3","0","WAIT_XTP_HOST_WAIT","189638448","189638496","XTP_CKPT_AGENT","background"
"6","0","PVS_PREALLOCATE","189638443","189638443","PVS_PREALLOCATOR","background"
"5","0","LAZYWRITER_SLEEP","116","189638443","LAZY WRITER","background"
"4","0","DIRTY_PAGE_POLL","47","189638443","RECOVERY WRITER","background"
"7","0","LOGMGR_QUEUE","62","189638436","LOG WRITER","background"
"8","0","LOGMGR_QUEUE","78","189638420","LOG WRITER","background"
"10","0","REQUEST_FOR_DEADLOCK_SEARCH","1632","189638418","LOCK MONITOR","background"
"13","0","XE_TIMER_EVENT","2004","189638415","XE TIMER","background"
"12","0","XE_DISPATCHER_WAIT","3829","189638415","XE DISPATCHER","background"
"11","0","","0","189638415","RESOURCE MONITOR","background"
"24","0","SQLTRACE_INCREMENTAL_FLUSH_SLEEP","234","189637771","TRACE QUEUE TASK","background"
"25","0","SP_SERVER_DIAGNOSTICS_SLEEP","258116","189637766","SYSTEM_HEALTH_MONITOR","background"
"26","0","","0","189637764","RECEIVE","background"
"29","0","FT_IFTSHC_MUTEX","189637000","189637000","UNKNOWN TOKEN","background"
"28","0","ONDEMAND_TASK_QUEUE","2178035","189636993","LOG POOL MEMORY NOTIFICATION","background"
"30","0","CHECKPOINT_QUEUE","33498","189636993","CHECKPOINT","background"
"31","0","BROKER_EVENTHANDLER","100830884","189636492","BRKR EVENT HNDLR","background"
"27","0","BROKER_TRANSMITTER","189636492","189636492","BRKR TASK","background"
"14","0","BROKER_TRANSMITTER","189636492","189636492","BRKR TASK","background"
"32","0","SLEEP_TASK","469","189636492","BRKR TASK","background"
"33","0","HADR_FILESTREAM_IOMGR_IOCOMPLETION","107","189636491","BRKR TASK","background"
"9","0","KSOURCE_WAKEUP","189636485","189636485","SIGNAL HANDLER","background"
"22","0","","0","16","TASK MANAGER","sleeping"
"23","0","","0","0","TASK MANAGER","sleeping"
"21","0","","0","0","TASK MANAGER","sleeping"
"20","0","","0","0","TASK MANAGER","sleeping"
"19","0","","0","0","TASK MANAGER","sleeping"
"18","0","","0","0","TASK MANAGER","sleeping"
